Date,Open,High,Low,Close,Volume,Adj Close
2/2/17,111.169998,112.239998,110.709999,112.209999,6274900,112.209999
2/1/17,111.199997,111.779999,110.839996,111,5885400,111
1/31/17,111.889999,112.199997,110.760002,111.349998,7897300,111.349998
1/30/17,113.150002,113.800003,110.720001,111.82,8212700,111.82
1/27/17,113.529999,114.699997,112.849998,113.790001,11645200,113.790001
1/26/17,117.5,117.82,116.5,116.550003,6909900,116.550003
1/25/17,116.900002,117.43,116.339996,117.239998,5259800,117.239998
1/24/17,115.849998,117.110001,115.610001,116.370003,4968000,116.370003
1/23/17,115.120003,115.959999,114.989998,115.389999,4889700,115.389999
1/20/17,116.32,116.75,115.339996,115.599998,6437700,115.599998
1/19/17,115.889999,115.959999,115.290001,115.580002,3421100,115.580002
1/18/17,115.68,116.040001,115.400002,115.940002,4849300,115.940002
1/17/17,116.400002,116.769997,116.110001,116.279999,4663100,116.279999
1/13/17,115.860001,116.879997,115.610001,116.379997,4947800,116.379997
1/12/17,116.5,116.989998,115.410004,116.160004,4935900,116.160004
1/11/17,115.150002,116.449997,114.860001,115.93,6074000,115.93
1/10/17,115.559998,116.389999,114.889999,114.959999,6176700,114.959999
1/9/17,116.290001,116.360001,115.110001,115.839996,6881000,115.839996
1/6/17,117.449997,117.580002,116.379997,116.839996,4742500,116.839996
1/5/17,118,118.480003,116.720001,117.309998,5920500,117.309998
1/4/17,118.410004,118.650002,117.599998,117.82,6567800,117.82
1/3/17,118.379997,119,116.589996,117.849998,7311500,117.849998
12/30/16,117.440002,118.239998,117.309998,117.699997,5009100,117.699997
12/29/16,118.010002,118.419998,117.480003,117.82,3171100,117.82
12/28/16,118.309998,118.860001,117.75,117.910004,4011700,117.910004
12/27/16,118.5,118.900002,118.110001,118.220001,2983400,118.220001
12/23/16,118.410004,118.699997,118.050003,118.419998,2682900,118.419998
12/22/16,117.940002,118.989998,117.769997,118.769997,4971000,118.769997
12/21/16,118.339996,119,117.860001,117.910004,5008500,117.910004
12/20/16,117.849998,118.629997,117.669998,117.949997,4181400,117.949997
12/19/16,118.370003,118.449997,117.419998,117.650002,5375700,117.650002
12/16/16,117.839996,118.580002,117.419998,118.080002,12670700,118.080002
12/15/16,115.629997,117.389999,115.360001,117.050003,7235500,117.050003
12/14/16,116.709999,117.879997,115.760002,115.959999,7685600,115.959999
12/13/16,117.900002,118.309998,116.029999,117.419998,8465600,117.419998
12/12/16,117.769997,118.989998,116.57,117.150002,9986700,117.150002
12/9/16,114.989998,115.989998,114.970001,115.809998,5765500,115.809998
12/8/16,114.730003,115.400002,114.199997,115.169998,5497000,115.169998
12/7/16,113.040001,114.480003,112.82,114.440002,6257500,114.440002
12/6/16,112.389999,113.489998,112.209999,112.760002,5889900,112.760002
12/5/16,113.389999,114.480003,113.029999,113.25,6886200,113.25
12/2/16,113.199997,113.809998,112.279999,113,5974600,113
12/1/16,112.790001,114.910004,112.529999,113.290001,11693800,113.290001
11/30/16,112.050003,112.980003,111.300003,111.559998,17134500,111.559998
11/29/16,109.099998,109.720001,108.400002,109.339996,7441400,109.339996
11/28/16,110.949997,111.57,110.379997,110.5,6373000,110.5
11/25/16,110.540001,111.220001,110.120003,111,3238600,111
11/23/16,110.400002,111.470001,110.040001,111,4472700,111
11/22/16,110.790001,111,109.309998,110.620003,6440500,110.620003
11/21/16,110.360001,111,110.07,110.18,8476800,110.18
11/18/16,108.57,109.669998,108.150002,109.199997,6815500,109.199997
11/17/16,109,110.099998,107.589996,108.120003,6638100,108.120003
11/16/16,108.199997,109,107.739998,108.349998,7723700,108.349998
11/15/16,107.489998,109.059998,107.400002,108.959999,12156500,107.879999
11/14/16,106.150002,106.730003,105.589996,106.589996,7656000,105.533488
11/11/16,107.480003,107.650002,105.940002,106.639999,7939500,105.582995
11/10/16,107.540001,108.5,107.239998,107.790001,8739500,106.721598
11/9/16,106.040001,108.260002,105.690002,107.639999,9161800,106.573083
11/8/16,106.57,108.190002,106.419998,107.290001,8050000,106.226554
11/7/16,106,106.980003,105.779999,106.849998,7333800,105.790913
11/4/16,105.25,105.489998,104.379997,104.779999,7085400,103.74143
11/3/16,105.529999,106.190002,104.949997,105.389999,5703200,104.345385
11/2/16,105.650002,106.050003,104.25,105.389999,8405200,104.345385
11/1/16,105.510002,106.739998,105.449997,106.480003,12755600,105.424585
10/31/16,103.82,105.459999,103.779999,104.75,12340800,103.711729
10/28/16,101.120003,105.029999,100.949997,103.82,17435400,102.790947
10/27/16,101.510002,101.980003,99.919998,99.919998,9897800,98.929602
10/26/16,100.32,101.529999,99.870003,101.190002,6353700,100.187018
10/25/16,100.75,101.669998,100.519997,100.769997,4730700,99.771175
10/24/16,101.559998,101.580002,100.059998,100.660004,6077300,99.662272
10/21/16,101.059998,101.559998,100.629997,101.300003,5622400,100.295928
